date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-04-11,261.1109,263.2615,261.0316,261.3983,91140243,91140243,-1.3776,-0.524,261.835,"Apr 11, 18",0.6051900664248427
2018-04-12,262.8849,264.6093,262.6867,263.5489,68890480,68890480,2.1506,0.823,263.7056,"Apr 12, 18",0.6183964329423498
2018-04-13,265.0156,265.1445,261.6461,262.7759,85079176,85079176,-0.773016,-0.293,263.0695,"Apr 13, 18",0.6136496081873822
2018-04-16,264.6093,265.7986,263.6876,264.9364,63405287,63405287,2.1605,0.822,264.8532,"Apr 16, 18",0.6269167684501341
2018-04-17,266.9185,268.4447,266.3436,267.7708,64682036,64682036,2.8344,1.07,267.5618,"Apr 17, 18",0.6443222019371713
2018-04-18,268.2663,268.8708,267.4536,267.969,57303857,57303857,0.198209,0.074,268.301,"Apr 18, 18",0.6455393049985354
2018-04-19,267.2356,267.4635,265.3229,266.4824,77655909,77655909,-1.4866,-0.555,266.2853,"Apr 19, 18",0.6364104179600689
2018-04-20,266.4031,266.6509,263.2318,264.2228,99953133,99953133,-2.2596,-0.848,264.4786,"Apr 20, 18",0.6225347061666352
2018-04-23,264.867,265.4913,262.9741,264.1832,65557954,65557954,-0.039642,-0.015,264.245,"Apr 23, 18",0.6222915311856562
2018-04-24,265.3328,265.5768,258.9405,260.6253,112885452,112885452,-3.5579,-1.347,261.57,"Apr 24, 18",0.6004432416698752
2018-04-25,260.5559,261.765,258.5144,261.2695,103756753,103756753,0.64418,0.247,260.1599,"Apr 25, 18",0.6043991336584263
2018-04-26,262.4191,264.8523,261.9236,263.9255,67731942,67731942,2.656,1.017,263.4809,"Apr 26, 18",0.6207090515745888
2018-04-27,264.6093,264.9463,263.1227,264.1733,57053647,57053647,0.247761,0.094,264.1372,"Apr 27, 18",0.6222307374404114
2018-04-30,264.867,265.4913,262.0623,262.1416,82182324,82182324,-2.0316,-0.769,263.4001,"Apr 30, 18",0.6097545099440759
2018-05-01,261.5073,262.7263,259.7631,262.6074,74203365,74203365,0.465791,0.178,261.2226,"May 1, 18",0.6126148863617522
2018-05-02,262.3894,263.3011,260.4073,260.8433,86368943,86368943,-1.7641,-0.672,261.7614,"May 2, 18",0.6017819322217289
2018-05-03,259.9118,261.0019,256.7305,260.2685,136311479,136311479,-0.574807,-0.22,258.9163,"May 3, 18",0.5982522105281258
2018-05-04,259.1784,264.4004,258.8117,263.6381,91222075,91222075,3.3696,1.295,262.6025,"May 4, 18",0.6189441907277872
2018-05-07,264.5003,265.6202,263.7273,264.53,55304907,55304907,0.891941,0.338,264.7293,"May 7, 18",0.624421154503926
2018-05-08,264.1138,264.9314,262.7759,264.53,67499247,67499247,0,0,263.8901,"May 8, 18",0.624421154503926
